ImageName,label
20200313023507_8SSB20N60248H1DG0390298_R339_1_view37,2
20200313043840_8SSB20N60248H1DG0390234_R616_1_view25,2
20200313191512_8SSB20N60248H1DG039014W_R701_1_view33,2
20200314043535_8SSB20N60248H1DG03900D9_R777_1_view16,0
20200314083032_8SSB20N60248H1DG039003N_R3376_1_view6,2
20200314092746_8SSB20N60248H1DG039001F_R112_1_view14,2
20200314120854_200366064900805_O2R35_1_view58,2
20200314121343_200366064900756_SR100_1_view35,2
20200314174446_8SSB20N60232H2DG03A04H6_SR58_1_view26,2
20200314194603_200366067100405_O2R58_1_view50,3
20200314202325_200366067100021_PR1077_1_view65,3
20200316094821_200265880400533_OR7_1_view69,0
20200316100022_200265880400788_XR20_1_view20,0
20200316123624_200265880400880_CFR31_1_view55,7
20200316123842_200265880400520_CFR24_1_view21,3
20200316145249_200265880400808_GR18_1_view47,6
20200319135516_200366305100243_PR2220_1_view72,4
20200320035438_200366306600463_O2R24_1_view50,1
20200320090424_200366306100002_OR202_1_view46,4
20200320104223_200366306100196_U33R40_1_view87,3
20200320184238_200366306400340_PR758_1_view31,6
20200320190247_200366306400322_U31R65_1_view57,1
20200321080752_200366306900401_D4R5_1_view8,1
20200321163309_200366306901126_SR1895_1_view47,3
20200321193822_200366306901533_PR1006_1_view10,3
20200322181650_A6521L3K01269_R43_1_view9,1
20200322234910_8SSB20N60232H2DG03L04Y9_SR201_1_view28,0
20200323030939_200366305200465_PR3019_1_view31,7
20200325053935_200366930800382_L1R16_1_view42,3
20200325100408_8SSB20N60232H2DG03L08N4_R299_1_view40,4
20200325100809_8SSB20N60232H2DG03L08MP_R299_1_view40,0
20200325102746_8SSB20N60232H2DG03L08MA_R299_1_view40,4
20200325102811_8SSB20N60232H2DG03L08MC_R299_1_view40,4
20200325172518_200366930900172_O2R210_1_view80,0
20200325194030_200366930900136_6MR99_1_view87,1
20200325214403_200366930900490_SR122_1_view23,1
20200325220517_200366930900464_O3R16_1_view83,0
20200325221228_200366930900509_SR1642_1_view78,1
20200328082248_8SSB20N60232H2DG03S01DH_R29_1_view33,5
20200330112951_8SSB20N60232H2DG03V035L_R110_1_view46,3
20200422000919_8SSB20N60289H1DG04J05AT_R39_1_view68,0
20200422002503_8SSB20N60289H1DG04J059H_R7_1_view10,0
20200422003311_8SSB20N60289H1DG04J0592_R307_1_view5,0
20200422004415_8SSB20N60289H1DG04J0588_R553_1_view28,0
20200422010502_8SSB20N60289H1DG04J056S_R2064_1_view7,0
20200422014820_8SSB20N60289H1DG04J053X_R39_1_view68,0
20200422015924_8SSB20N60289H1DG04J0536_R39_1_view68,0
20200422020052_8SSB20N60289H1DG04J0534_R192_1_view13,0
20200422022454_8SSB20N60289H1DG04J051E_R41_1_view17,0
20200422023902_8SSB20N60289H1DG04J0506_R732_1_view57,0
20200422035216_8SSB20N60289H1DG04J04TR_R539_1_view28,0
20200422041923_8SSB20N60289H1DG04J04RY_R813_1_view9,0
20200422041945_8SSB20N60289H1DG04J04RX_R39_1_view68,0
20200422042704_8SSB20N60289H1DG04J04R9_R39_1_view68,0
20200422043558_8SSB20N60289H1DG04J04PH_R39_1_view68,0
20200422043838_8SSB20N60289H1DG04J04PB_R485_1_view27,0
20200422044133_8SSB20N60289H1DG04J04P4_R7_1_view10,0
20200422044742_8SSB20N60289H1DG04J04NP_R39_1_view68,0
20200422050525_8SSB20N60289H1DG04J04MC_R806_1_view65,0
20200422050706_8SSB20N60289H1DG04J04M8_R7_1_view10,0
20200422051025_8SSB20N60289H1DG04J04M0_R39_1_view68,0
20200422052301_8SSB20N60289H1DG04J04L4_R308_1_view6,0
20200422052301_8SSB20N60289H1DG04J04L4_R39_1_view68,0
20200422052419_8SSB20N60289H1DG04J04L1_R553_1_view28,0
20200422052803_8SSB20N60289H1DG04J04KP_R39_1_view68,0
20200422055923_8SSB20N60289H1DG04J04H8_R39_1_view68,0
20200422061722_8SSB20N60289H1DG04J04FY_R39_1_view68,0
20200422063334_8SSB20N60289H1DG04J04F6_R7_1_view10,0
20200422063834_8SSB20N60289H1DG04J04EP_R48_1_view68,0
20200422064244_8SSB20N60289H1DG04J04EE_R668_1_view59,0
20200422070709_8SSB20N60289H1DG04J04CZ_R947_1_view65,0
20200422072010_8SSB20N60289H1DG04J04BW_R39_1_view68,0
20200422081506_8SSB20N60289H1DG04J04A8_R39_1_view68,0
20200422082201_8SSB20N60289H1DG04J049W_R968_1_view58,0
20200422082416_8SSB20N60289H1DG04J049P_R947_1_view65,0
20200422082837_8SSB20N60289H1DG04J049A_R39_1_view68,0
20200422083606_8SSB20N60289H1DG04J048R_R39_1_view68,0
20200422092202_8SSB20N60289H1DG04J045E_R565_1_view68,0
20200422125142_8SSB20N60289H1DG04J03PE_R39_1_view68,0
20200422140923_8SSB20N60289H1DG04J03JB_R39_1_view68,0
20200504110839_8SSB20N60289H1DG04T0258_R1841_1_view50,0
20200504115757_8SSB20N60289H1DG04T0224_R2238_1_view50,0
20200504122356_8SSB20N60522H1DG0530158_R16_1_view45,0
20200504122356_8SSB20N60522H1DG0530158_R669_1_view20,0
20200504124447_8SSB20N60522H1DG053013C_R646_1_view20,4
20200504124805_8SSB20N60522H1DG053014W_R861_1_view10,0
20200504124937_8SSB20N60289H1DG04T01YR_R2183_1_view50,3
20200504131908_8SSB20N60289H1DG04T01X1_R349_1_view13,0
20200504134234_8SSB20N60289H1DG04T01W0_R1040_1_view51,0
20200504134819_8SSB20N60289H1DG04T01TY_R1255_1_view50,0
20200504135113_8SSB20N60289H1DG04T01XJ_R278_1_view14,0
20200504135113_8SSB20N60289H1DG04T01XJ_R318_1_view28,0
20200504135248_8SSB20N60522H1DG053010C_R424_1_view62,0
20200504143807_8SSB20N60289H1DG04T01PF_R826_1_view50,0
20200504150301_8SSB20N60289H1DG04T01MP_R2009_1_view53,0
20200504150301_8SSB20N60289H1DG04T01MP_R2183_1_view50,3
20200504150455_8SSB20N60522H1DG05300W4_R590_1_view26,4
20200504155617_8SSB20N60522H1DG05300T4_R178_1_view38,0
20200504161254_8SSB20N60289H1DG04T01GL_R826_1_view50,0
20200504164649_8SSB20N60522H1DG05300PG_R187_1_view42,0
20200504164802_8SSB20N60522H1DG05300PD_R279_1_view49,3
20200504165055_8SSB20N60522H1DG05300P8_R524_1_view26,0
20200504182011_8SSB20N60522H1DG05300HC_R424_1_view62,0
20200504184634_8SSB20N60289H1DG04T016B_R826_1_view50,0
20200504184647_8SSB20N60522H1DG05300FJ_R712_1_view23,0
20200504190523_8SSB20N60289H1DG04T014Z_R988_1_view51,0
20200504201737_8SSB20N60289H1DG04T012Y_R779_1_view60,0
20200504202249_8SSB20N60289H1DG04T012G_R826_1_view50,0
20200504203519_8SSB20N60289H1DG04T011R_R936_1_view50,0
20200504205036_8SSB20N60522H1DG053002F_R545_1_view27,0
20200504205443_8SSB20N60522H1DG053001H_R301_1_view49,0
20200504205443_8SSB20N60522H1DG053001H_R521_1_view26,0
20200504213039_8SSB20N60522H1DG05300N7_R849_1_view15,0
20200504213101_8SSB20N60522H1DG05300H7_R489_1_view30,0
20200504214340_8SSB20N60522H1DG05300XG_R954_1_view13,0
20200504223628_8SSB20N60522H1DG05300H0_R306_1_view32,0
20200504230945_8SSB20N60289H1DG04T00S6_R988_1_view51,0
20200509091614_200468495502588_6CR80_1_view59,0
20200701154618_8SSB20N60112H1DG06Y08JV_R995_1_view45,0
20200701154901_8SSB20N60112H1DG06Y08JL_R995_1_view45,0
20210323083118-R62-1,0
